fecha,magnitudVibracion,corriente,tiempo,operador,estadoMaquina
25/11/2025,1.62,4.15,51.50,Ing Ricardo,En reposo
25/11/2025,1.61,4.17,52.01,Ing Ricardo,En reposo
25/11/2025,1.58,4.18,52.43,Ing Ricardo,En reposo
25/11/2025,1.5,4.2,53.03,Ing Ricardo,En reposo
25/11/2025,1.57,4.21,53.65,Ing Ricardo,En reposo
25/11/2025,1.63,4.22,54.98,Ing Ricardo,En reposo
25/11/2025,1.6,3.35,55.00,Ing Ricardo,En reposo
25/11/2025,1.55,2.55,55.69,Ing Ricardo,En reposo
25/11/2025,1.56,1.99,56.42,Ing Ricardo,En reposo
25/11/2025,1.68,1.6,56.62,Ing Ricardo,En reposo
25/11/2025,1.64,1.32,57.13,Ing Ricardo,En reposo
25/11/2025,1.52,1.13,57.54,Ing Ricardo,En reposo
25/11/2025,1.54,1,58.05,Ing Ricardo,En reposo
25/11/2025,1.62,0.89,58.87,Ing Ricardo,En reposo
25/11/2025,1.66,0.81,59.59,Ing Ricardo,En reposo
25/11/2025,1.64,0.75,59.61,Ing Ricardo,En reposo
25/11/2025,1.59,0.7,60.00,Ing Ricardo,En reposo
25/11/2025,1.52,0.66,60.61,Ing Ricardo,En reposo
25/11/2025,1.54,0.62,61.23,Ing Ricardo,En reposo
25/11/2025,1.53,0.59,61.64,Ing Ricardo,En reposo
25/11/2025,1.64,0.56,62.25,Ing Ricardo,En reposo
25/11/2025,1.53,0.55,62.76,Ing Ricardo,En reposo
25/11/2025,1.6,0.54,63.08,Ing Ricardo,En reposo
25/11/2025,1.57,0.53,63.58,Ing Ricardo,En reposo
25/11/2025,1.66,0.53,64.00,Ing Ricardo,En reposo
25/11/2025,1.55,0.56,64.61,Ing Ricardo,En reposo
25/11/2025,1.6,0.58,65.01,Ing Ricardo,En reposo
25/11/2025,1.52,0.6,65.52,Ing Ricardo,En reposo
25/11/2025,1.6,0.61,66.03,Ing Ricardo,En reposo
25/11/2025,1.66,0.7,66.55,Ing Ricardo,En reposo
25/11/2025,1.61,0.76,67.08,Ing Ricardo,En reposo
25/11/2025,1.51,0.8,67.86,Ing Ricardo,En reposo
25/11/2025,1.57,0.83,68.31,Ing Ricardo,En reposo
25/11/2025,1.56,0.86,69.50,Ing Ricardo,En reposo
25/11/2025,1.58,1.28,69.51,Ing Ricardo,En reposo
25/11/2025,1.56,1.47,69.92,Ing Ricardo,En reposo
25/11/2025,1.5,1.63,70.42,Ing Ricardo,En reposo
25/11/2025,1.57,1.8,70.96,Ing Ricardo,En reposo
25/11/2025,1.59,1.94,71.59,Ing Ricardo,En reposo
25/11/2025,1.62,2.04,72.55,Ing Ricardo,En reposo
25/11/2025,1.51,2.13,73.05,Ing Ricardo,En reposo
25/11/2025,1.57,2.2,73.32,Ing Ricardo,En reposo
25/11/2025,1.54,2.26,73.71,Ing Ricardo,En reposo
25/11/2025,1.67,2.31,74.14,Ing Ricardo,En reposo
25/11/2025,1.6,2.34,74.56,Ing Ricardo,En reposo
25/11/2025,1.62,2.38,75.15,Ing Ricardo,En reposo
25/11/2025,1.53,2.42,75.66,Ing Ricardo,En reposo
25/11/2025,1.56,2.45,76.18,Ing Ricardo,En reposo
25/11/2025,1.59,2.44,76.50,Ing Ricardo,En reposo
25/11/2025,1.59,2.43,76.99,Ing Ricardo,En reposo
25/11/2025,1.53,2.43,77.71,Ing Ricardo,En reposo
25/11/2025,1.64,2.43,78.32,Ing Ricardo,En reposo
25/11/2025,1.61,2.43,78.53,Ing Ricardo,En reposo
25/11/2025,1.59,2.31,79.05,Ing Ricardo,En reposo
25/11/2025,1.74,2.1,79.45,Ing Ricardo,En reposo
25/11/2025,1.6,1.82,80.58,Ing Ricardo,En reposo
25/11/2025,1.55,1.66,80.60,Ing Ricardo,En reposo
25/11/2025,1.53,1.51,81.30,Ing Ricardo,En reposo
25/11/2025,1.65,1.4,81.50,Ing Ricardo,En reposo
25/11/2025,1.62,1.33,82.42,Ing Ricardo,En reposo
25/11/2025,1.62,1.27,82.62,Ing Ricardo,En reposo
25/11/2025,1.61,1.23,83.14,Ing Ricardo,En reposo
25/11/2025,1.57,1.19,83.46,Ing Ricardo,En reposo
25/11/2025,1.54,1.15,83.95,Ing Ricardo,En reposo
25/11/2025,1.66,1.12,84.47,Ing Ricardo,En reposo
25/11/2025,1.52,1.07,84.98,Ing Ricardo,En reposo
25/11/2025,1.61,0.99,85.45,Ing Ricardo,En reposo
25/11/2025,1.71,0.95,85.94,Ing Ricardo,En reposo
25/11/2025,1.6,0.95,86.44,Ing Ricardo,En reposo
25/11/2025,1.57,0.98,86.97,Ing Ricardo,En reposo
25/11/2025,1.57,1.05,87.50,Ing Ricardo,En reposo
25/11/2025,1.59,1.12,88.25,Ing Ricardo,En reposo
